Modulo,Algoritmo,Repeticao,Cobertura
insertion_sort_11,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_11,WHOLE_SUITE,2,0.9130434782608695
insertion_sort_11,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_11,RANDOM,1,0.2608695652173913
insertion_sort_11,RANDOM,2,0.2608695652173913
insertion_sort_11,RANDOM,3,0.2608695652173913
insertion_sort_14,DYNAMOSA,1,0.9130434782608695
insertion_sort_14,DYNAMOSA,2,0.9130434782608695
insertion_sort_14,DYNAMOSA,3,0.9130434782608695
insertion_sort_14,MOSA,1,0.9130434782608695
insertion_sort_14,MOSA,2,0.9130434782608695
insertion_sort_14,MOSA,3,0.9130434782608695
insertion_sort_14,MIO,1,0.9130434782608695
insertion_sort_14,MIO,2,0.9130434782608695
insertion_sort_14,MIO,3,0.9130434782608695
insertion_sort_14,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_14,WHOLE_SUITE,2,0.9130434782608695
insertion_sort_14,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_14,RANDOM,1,0.2608695652173913
insertion_sort_14,RANDOM,2,0.2608695652173913
insertion_sort_14,RANDOM,3,0.2608695652173913
insertion_sort_17,DYNAMOSA,1,0.9130434782608695
insertion_sort_17,DYNAMOSA,2,0.9130434782608695
insertion_sort_17,DYNAMOSA,3,0.9130434782608695
insertion_sort_17,MOSA,1,0.9130434782608695
insertion_sort_17,MOSA,2,0.9130434782608695
insertion_sort_17,MOSA,3,0.9130434782608695
insertion_sort_17,MIO,1,0.9130434782608695
insertion_sort_17,MIO,2,0.9130434782608695
insertion_sort_17,MIO,3,0.9130434782608695
insertion_sort_17,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_17,WHOLE_SUITE,2,0.9130434782608695
insertion_sort_17,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_17,RANDOM,1,0.2608695652173913
insertion_sort_17,RANDOM,2,0.2608695652173913
insertion_sort_17,RANDOM,3,0.2608695652173913
insertion_sort_2,DYNAMOSA,1,0.9130434782608695
insertion_sort_2,DYNAMOSA,2,0.9130434782608695
insertion_sort_2,DYNAMOSA,3,0.9130434782608695
insertion_sort_2,MOSA,1,0.9130434782608695
insertion_sort_2,MOSA,2,0.9130434782608695
insertion_sort_2,MOSA,3,0.9130434782608695
insertion_sort_2,MIO,1,0.9130434782608695
insertion_sort_2,MIO,2,0.9130434782608695
insertion_sort_2,MIO,3,0.9130434782608695
insertion_sort_2,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_2,WHOLE_SUITE,2,0.9130434782608695
insertion_sort_2,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_2,RANDOM,1,0.9130434782608695
insertion_sort_2,RANDOM,2,0.9130434782608695
insertion_sort_2,RANDOM,3,0.9130434782608695
insertion_sort_20,DYNAMOSA,1,0.9130434782608695
insertion_sort_20,DYNAMOSA,2,0.9130434782608695
insertion_sort_20,DYNAMOSA,3,0.9130434782608695
insertion_sort_20,MOSA,1,0.9130434782608695
insertion_sort_20,MOSA,2,0.9130434782608695
insertion_sort_20,MOSA,3,0.9130434782608695
insertion_sort_20,MIO,1,0.9130434782608695
insertion_sort_20,MIO,2,0.6956521739130435
insertion_sort_20,MIO,3,0.9130434782608695
insertion_sort_20,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_20,WHOLE_SUITE,2,0.9130434782608695
insertion_sort_20,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_20,RANDOM,1,0.2608695652173913
insertion_sort_20,RANDOM,2,0.2608695652173913
insertion_sort_20,RANDOM,3,0.2608695652173913
insertion_sort_23,DYNAMOSA,1,0.9130434782608695
insertion_sort_23,DYNAMOSA,2,0.9130434782608695
insertion_sort_23,DYNAMOSA,3,0.9130434782608695
insertion_sort_23,MOSA,1,0.9130434782608695
insertion_sort_23,MOSA,2,0.9130434782608695
insertion_sort_23,MOSA,3,0.9130434782608695
insertion_sort_23,MIO,1,0.9130434782608695
insertion_sort_23,MIO,2,0.9130434782608695
insertion_sort_23,MIO,3,0.9130434782608695
insertion_sort_23,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_23,WHOLE_SUITE,2,0.9130434782608695
insertion_sort_23,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_23,RANDOM,1,0.2608695652173913
insertion_sort_23,RANDOM,2,0.2608695652173913
insertion_sort_23,RANDOM,3,0.2608695652173913
insertion_sort_26,DYNAMOSA,1,0.9130434782608695
insertion_sort_26,DYNAMOSA,2,0.9130434782608695
insertion_sort_26,DYNAMOSA,3,0.9130434782608695
insertion_sort_26,MOSA,1,0.9130434782608695
insertion_sort_26,MOSA,2,0.9130434782608695
insertion_sort_26,MOSA,3,0.9130434782608695
insertion_sort_26,MIO,1,0.6956521739130435
insertion_sort_26,MIO,2,0.9130434782608695
insertion_sort_26,MIO,3,0.8695652173913043
insertion_sort_26,WHOLE_SUITE,1,0.8695652173913043
insertion_sort_26,WHOLE_SUITE,2,0.8695652173913043
insertion_sort_26,WHOLE_SUITE,3,0.8695652173913043
insertion_sort_26,RANDOM,1,0.2608695652173913
insertion_sort_26,RANDOM,2,0.2608695652173913
insertion_sort_26,RANDOM,3,0.2608695652173913
insertion_sort_29,DYNAMOSA,1,0.9130434782608695
insertion_sort_29,DYNAMOSA,2,0.9130434782608695
insertion_sort_29,DYNAMOSA,3,0.9130434782608695
insertion_sort_29,MOSA,1,0.9130434782608695
insertion_sort_29,MOSA,2,0.9130434782608695
insertion_sort_29,MOSA,3,0.9130434782608695
insertion_sort_29,MIO,1,0.9130434782608695
insertion_sort_29,MIO,2,0.9130434782608695
insertion_sort_29,MIO,3,0.9130434782608695
insertion_sort_29,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_29,WHOLE_SUITE,2,0.8695652173913043
insertion_sort_29,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_29,RANDOM,1,0.2608695652173913
insertion_sort_29,RANDOM,2,0.2608695652173913
insertion_sort_29,RANDOM,3,0.2608695652173913
insertion_sort_5,DYNAMOSA,1,0.9130434782608695
insertion_sort_5,DYNAMOSA,2,0.9130434782608695
insertion_sort_5,DYNAMOSA,3,0.9130434782608695
insertion_sort_5,MOSA,1,0.9130434782608695
insertion_sort_5,MOSA,2,0.9130434782608695
insertion_sort_5,MOSA,3,0.9130434782608695
insertion_sort_5,MIO,1,0.9130434782608695
insertion_sort_5,MIO,2,0.9130434782608695
insertion_sort_5,MIO,3,0.9130434782608695
insertion_sort_5,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_5,WHOLE_SUITE,2,0.9130434782608695
insertion_sort_5,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_5,RANDOM,1,0.782608695652174
insertion_sort_5,RANDOM,2,0.782608695652174
insertion_sort_5,RANDOM,3,0.782608695652174
insertion_sort_8,DYNAMOSA,1,0.9130434782608695
insertion_sort_8,DYNAMOSA,2,0.9130434782608695
insertion_sort_8,DYNAMOSA,3,0.9130434782608695
insertion_sort_8,MOSA,1,0.9130434782608695
insertion_sort_8,MOSA,2,0.9130434782608695
insertion_sort_8,MOSA,3,0.9130434782608695
insertion_sort_8,MIO,1,0.9130434782608695
insertion_sort_8,MIO,2,0.9130434782608695
insertion_sort_8,MIO,3,0.9130434782608695
insertion_sort_8,WHOLE_SUITE,1,0.9130434782608695
insertion_sort_8,WHOLE_SUITE,2,0.9130434782608695
insertion_sort_8,WHOLE_SUITE,3,0.9130434782608695
insertion_sort_8,RANDOM,1,0.782608695652174
insertion_sort_8,RANDOM,2,0.782608695652174
insertion_sort_8,RANDOM,3,0.782608695652174
selection_sort_12,DYNAMOSA,1,0.9473684210526315
selection_sort_12,DYNAMOSA,2,0.9473684210526315
selection_sort_12,DYNAMOSA,3,0.9473684210526315
selection_sort_12,MOSA,1,0.9473684210526315
selection_sort_12,MOSA,2,0.9473684210526315
selection_sort_12,MOSA,3,0.9473684210526315
selection_sort_12,MIO,1,0.9473684210526315
selection_sort_12,MIO,2,0.9473684210526315
selection_sort_12,MIO,3,0.8947368421052632
selection_sort_12,WHOLE_SUITE,1,0.9473684210526315
selection_sort_12,WHOLE_SUITE,2,0.9473684210526315
selection_sort_12,WHOLE_SUITE,3,0.9473684210526315
selection_sort_12,RANDOM,1,0.3157894736842105
selection_sort_12,RANDOM,2,0.3157894736842105
selection_sort_12,RANDOM,3,0.3157894736842105
selection_sort_15,DYNAMOSA,1,0.9473684210526315
selection_sort_15,DYNAMOSA,2,0.9473684210526315
selection_sort_15,DYNAMOSA,3,0.9473684210526315
selection_sort_15,MOSA,1,0.9473684210526315
selection_sort_15,MOSA,2,0.9473684210526315
selection_sort_15,MOSA,3,0.9473684210526315
selection_sort_15,MIO,1,0.9473684210526315
selection_sort_15,MIO,2,0.9473684210526315
selection_sort_15,MIO,3,0.9473684210526315
selection_sort_15,WHOLE_SUITE,1,0.8947368421052632
selection_sort_15,WHOLE_SUITE,2,0.9473684210526315
selection_sort_15,WHOLE_SUITE,3,0.9473684210526315
selection_sort_15,RANDOM,1,0.3157894736842105
selection_sort_15,RANDOM,2,0.3157894736842105
selection_sort_15,RANDOM,3,0.3157894736842105
selection_sort_18,DYNAMOSA,1,0.9473684210526315
selection_sort_18,DYNAMOSA,2,0.9473684210526315
selection_sort_18,DYNAMOSA,3,0.9473684210526315
selection_sort_18,MOSA,1,0.8947368421052632
selection_sort_18,MOSA,2,0.9473684210526315
selection_sort_18,MOSA,3,0.9473684210526315
selection_sort_18,MIO,1,0.9473684210526315
selection_sort_18,MIO,2,0.9473684210526315
selection_sort_18,MIO,3,0.8947368421052632
selection_sort_18,WHOLE_SUITE,1,0.8947368421052632
selection_sort_18,WHOLE_SUITE,2,0.9473684210526315
selection_sort_18,WHOLE_SUITE,3,0.9473684210526315
selection_sort_18,RANDOM,1,0.3157894736842105
selection_sort_18,RANDOM,2,0.3157894736842105
selection_sort_18,RANDOM,3,0.3157894736842105
selection_sort_21,DYNAMOSA,1,0.9473684210526315
selection_sort_21,DYNAMOSA,2,0.9473684210526315
selection_sort_21,DYNAMOSA,3,0.9473684210526315
selection_sort_21,MOSA,1,0.9473684210526315
selection_sort_21,MOSA,2,0.9473684210526315
selection_sort_21,MOSA,3,0.9473684210526315
selection_sort_21,MIO,1,0.9473684210526315
selection_sort_21,MIO,2,0.9473684210526315
selection_sort_21,MIO,3,0.8421052631578947
selection_sort_21,WHOLE_SUITE,1,0.9473684210526315
selection_sort_21,WHOLE_SUITE,2,0.8947368421052632
selection_sort_21,WHOLE_SUITE,3,0.9473684210526315
selection_sort_21,RANDOM,1,0.3157894736842105
selection_sort_21,RANDOM,2,0.3157894736842105
selection_sort_21,RANDOM,3,0.3157894736842105
selection_sort_24,DYNAMOSA,1,0.9473684210526315
selection_sort_24,DYNAMOSA,2,0.9473684210526315
selection_sort_24,DYNAMOSA,3,0.9473684210526315
selection_sort_24,MOSA,1,0.9473684210526315
selection_sort_24,MOSA,2,0.9473684210526315
selection_sort_24,MOSA,3,0.9473684210526315
selection_sort_24,MIO,1,0.9473684210526315
selection_sort_24,MIO,2,0.9473684210526315
selection_sort_24,MIO,3,0.9473684210526315
selection_sort_24,WHOLE_SUITE,1,0.9473684210526315
selection_sort_24,WHOLE_SUITE,2,0.9473684210526315
selection_sort_24,WHOLE_SUITE,3,0.9473684210526315
selection_sort_24,RANDOM,1,0.3157894736842105
selection_sort_24,RANDOM,2,0.3157894736842105
selection_sort_24,RANDOM,3,0.3157894736842105
selection_sort_27,DYNAMOSA,1,0.9473684210526315
selection_sort_27,DYNAMOSA,2,0.9473684210526315
selection_sort_27,DYNAMOSA,3,0.9473684210526315
selection_sort_27,MOSA,1,0.9473684210526315
selection_sort_27,MOSA,2,0.9473684210526315
selection_sort_27,MOSA,3,0.9473684210526315
selection_sort_27,MIO,1,0.8947368421052632
selection_sort_27,MIO,2,0.9473684210526315
selection_sort_27,MIO,3,0.8421052631578947
selection_sort_27,WHOLE_SUITE,1,0.9473684210526315
selection_sort_27,WHOLE_SUITE,2,0.9473684210526315
selection_sort_27,WHOLE_SUITE,3,0.9473684210526315
selection_sort_27,RANDOM,1,0.3157894736842105
selection_sort_27,RANDOM,2,0.3157894736842105
selection_sort_27,RANDOM,3,0.3157894736842105
selection_sort_3,DYNAMOSA,1,0.9473684210526315
selection_sort_3,DYNAMOSA,2,0.9473684210526315
selection_sort_3,DYNAMOSA,3,0.9473684210526315
selection_sort_3,MOSA,1,0.9473684210526315
selection_sort_3,MOSA,2,0.9473684210526315
selection_sort_3,MOSA,3,0.9473684210526315
selection_sort_3,MIO,1,0.9473684210526315
selection_sort_3,MIO,2,0.9473684210526315
selection_sort_3,MIO,3,0.9473684210526315
selection_sort_3,WHOLE_SUITE,1,0.9473684210526315
selection_sort_3,WHOLE_SUITE,2,0.9473684210526315
selection_sort_3,WHOLE_SUITE,3,0.9473684210526315
selection_sort_3,RANDOM,1,0.9473684210526315
selection_sort_3,RANDOM,2,0.9473684210526315
selection_sort_3,RANDOM,3,0.9473684210526315
selection_sort_30,DYNAMOSA,1,0.9473684210526315
selection_sort_30,DYNAMOSA,2,0.9473684210526315
selection_sort_30,DYNAMOSA,3,0.9473684210526315
selection_sort_30,MOSA,1,0.9473684210526315
selection_sort_30,MOSA,2,0.9473684210526315
selection_sort_30,MOSA,3,0.9473684210526315
selection_sort_30,MIO,1,0.8947368421052632
selection_sort_30,MIO,2,0.9473684210526315
selection_sort_30,MIO,3,0.8947368421052632
selection_sort_30,WHOLE_SUITE,1,0.8947368421052632
selection_sort_30,WHOLE_SUITE,2,0.8947368421052632
selection_sort_30,WHOLE_SUITE,3,0.8947368421052632
selection_sort_30,RANDOM,1,0.3157894736842105
selection_sort_30,RANDOM,2,0.3157894736842105
selection_sort_30,RANDOM,3,0.3157894736842105
selection_sort_6,DYNAMOSA,1,0.9473684210526315
